timestamp,x,y,z
236247,1.74,0.3,9.23
236267,1.33,-0.04,10.94
236288,1.33,-0.04,10.94
236308,1.33,-0.04,10.94
236328,1.3,0.04,11.14
236348,1.3,0.04,11.14
236367,1.3,0.04,11.14
236387,1.3,0.04,11.14
236409,1.67,0.3,10.27
236427,1.67,0.3,10.27
236447,1.67,0.3,10.27
236468,2.05,0.42,9.5
236488,2.05,0.42,9.5
236508,2.05,0.42,9.5
236528,2.09,0.6,9.32
236548,2.09,0.6,9.32
236568,2.09,0.6,9.32
236588,2.09,0.6,9.32
236608,1.88,0.7,9.3
236627,1.88,0.7,9.3
236647,1.88,0.7,9.3
236667,1.76,0.84,9.49
236687,1.76,0.84,9.49
236707,1.76,0.84,9.49
236727,1.67,0.91,9.36
236747,1.67,0.91,9.36
236768,1.67,0.91,9.36
236788,1.67,0.91,9.36
236808,1.84,1.22,10.34
236828,1.84,1.22,10.34
236847,1.84,1.22,10.34
236867,1.69,1.2,10.31
236887,1.69,1.2,10.31
236907,1.69,1.2,10.31
236927,1.4,1.18,9.91
236947,1.4,1.18,9.91
236967,1.4,1.18,9.91
236988,1.48,1.15,10.05
237007,1.48,1.15,10.05
237028,1.48,1.15,10.05
237047,1.48,1.15,10.05
237067,1.84,1.27,9.8
237088,1.84,1.27,9.8
237107,1.84,1.27,9.8
237128,2,1.41,9.69
237147,2,1.41,9.69
237167,2,1.41,9.69
237187,1.94,1.68,9.45
237208,1.94,1.68,9.45
237228,1.94,1.68,9.45
237247,1.94,1.68,9.45
237268,1.77,1.61,9.36
237287,1.77,1.61,9.36
237307,1.77,1.61,9.36
237327,2.16,1.39,9.44
237347,2.16,1.39,9.44
237367,2.16,1.39,9.44
237387,1.79,1.24,9.62
237407,1.79,1.24,9.62
237427,1.79,1.24,9.62
237447,1.79,1.24,9.62
237467,1.68,1.29,9.81
237487,1.68,1.29,9.81
237508,1.68,1.29,9.81
237528,1.69,1.4,9.79
237552,1.69,1.4,9.79
237568,1.69,1.4,9.79
237588,1.64,1.78,9.43
237611,1.64,1.78,9.43
237627,1.64,1.78,9.43
237647,1.75,1.78,9.4
237667,1.75,1.78,9.4
237687,1.75,1.78,9.4
237707,1.75,1.78,9.4
237727,1.76,1.55,9.54
237747,1.76,1.55,9.54
237768,1.76,1.55,9.54
237788,1.65,1.62,9.82
237807,1.65,1.62,9.82
237827,1.65,1.62,9.82
237848,1.52,1.57,9.7
237868,1.52,1.57,9.7
237888,1.52,1.57,9.7
237907,1.52,1.57,9.7
237927,1.4,1.66,9.53
237947,1.4,1.66,9.53
237967,1.4,1.66,9.53
237987,1.68,1.7,9.48
238008,1.68,1.7,9.48
238027,1.68,1.7,9.48
238047,1.68,1.78,9.49
238068,1.68,1.78,9.49
238088,1.68,1.78,9.49
238107,1.68,1.78,9.49
238127,1.53,1.71,9.75
238147,1.53,1.71,9.75
238167,1.53,1.71,9.75
238187,1.48,1.6,9.59
238207,1.48,1.6,9.59
238227,1.48,1.6,9.59
238247,1.23,1.5,9.84
238267,1.23,1.5,9.84
238287,1.23,1.5,9.84
238307,1,1.57,9.66
238327,1,1.57,9.66
238347,1,1.57,9.66
238368,1,1.57,9.66
238389,0.88,1.72,9.6
238407,0.88,1.72,9.6
238427,0.88,1.72,9.6
238447,0.97,1.69,9.57
238467,0.97,1.69,9.57
238487,0.97,1.69,9.57
238507,1.41,1.79,9.57
238531,1.41,1.79,9.57
238547,1.41,1.79,9.57
238567,1.41,1.79,9.57
238594,1.61,1.67,9.72
238607,1.61,1.67,9.72
238627,1.61,1.67,9.72
238647,1.38,1.78,9.6
238667,1.38,1.78,9.6
238687,1.38,1.78,9.6
238707,1.36,1.6,9.56
238729,1.36,1.6,9.56
238747,1.36,1.6,9.56
238767,1.36,1.6,9.56
238787,1.43,1.31,9.47
238807,1.43,1.31,9.47
238827,1.43,1.31,9.47
238848,1.48,1.14,9.58
238867,1.48,1.14,9.58
238888,1.48,1.14,9.58
238907,1.29,0.82,9.67
238928,1.29,0.82,9.67
238947,1.29,0.82,9.67
238967,1.5,0.72,9.93
238987,1.5,0.72,9.93
239007,1.5,0.72,9.93
239027,1.5,0.72,9.93
239047,1.56,0.6,10.1
239067,1.56,0.6,10.1
239087,1.56,0.6,10.1
239107,1.76,0.38,9.93
239127,1.76,0.38,9.93
239147,1.76,0.38,9.93
239168,1.93,0.22,9.79
239187,1.93,0.22,9.79
239207,1.93,0.22,9.79
239227,1.93,0.22,9.79
