acc_x,acc_y,acc_z,ground_truth,window_id
0.68,9.66,-0.46,2,1
0.71,9.809999,-0.66,2,1
1.13,9.54,-0.12,2,1
1.16,9.59,-0.25,2,1
1,9.49,-0.24,2,1
0.74,9.75,-0.83,2,1
0.62,9.7,-0.53,2,1
1.26,9.71,-0.16,2,1
0.77,9.67,-0.55,2,1
1.05,9.719999,-0.2,2,1
0.77,9.82,-0.52,2,1
1.22,9.559999,-0.11,2,1
0.61,9.78,-0.45,2,1
0.97,9.57,0.23,2,1
